national_id,full_name,email
29901011234567,عمرو عيسى,dr_11234567@eng.bsu.edu.eg
29805151234567,أحمد شفيق,dr_51234567@eng.bsu.edu.eg
28512251234567,سعيد فهمي,dr_51234567@eng.bsu.edu.eg
29003121234567,حسام أنور,dr_21234567@eng.bsu.edu.eg
29107081234567,علي شرقاوي,dr_81234567@eng.bsu.edu.eg
28608161234567,خديجة صلاح,dr_61234567@eng.bsu.edu.eg
29204271234567,أمل أحمد,dr_71234567@eng.bsu.edu.eg
28709011234567,محمد بدر,dr_11234567@eng.bsu.edu.eg
29305021234567,هاني سالم,dr_21234567@eng.bsu.edu.eg
28810031234567,فاطمة عمر,dr_31234567@eng.bsu.edu.eg
78551179924854,أحمد شعبان,dr_79924854@eng.bsu.edu.eg
71316140740199,أحمد زيدان,dr_40740199@eng.bsu.edu.eg
30273467939710,أحمد محمد كامل التهامي,dr_67939710@eng.bsu.edu.eg
86809173624137,كمال الغمري متولي محمد,dr_73624137@eng.bsu.edu.eg
77290655196718,وائل نشأت عبد السميع عبد الغني,dr_55196718@eng.bsu.edu.eg
92767611079810,محمد نبيل علي بيومي,dr_11079810@eng.bsu.edu.eg
17499969301058,أماني طلعت عبد القادر حسونه,dr_69301058@eng.bsu.edu.eg
90326315394754,ناصر زكي أحمد أبو القاسم,dr_15394754@eng.bsu.edu.eg
68908895653909,محمد عبد السلام إبراهيم عرب,dr_95653909@eng.bsu.edu.eg
39770934040349,محمود عبد العزيز عبد المحسن المندوه,dr_34040349@eng.bsu.edu.eg
95414991780385,شرين أحمد إبراهيم زكي,dr_91780385@eng.bsu.edu.eg
54171566272320,وائل صلاح الدين زكي,dr_66272320@eng.bsu.edu.eg
26934872012398,سحر عبد السلام مصطفى أحمد,dr_72012398@eng.bsu.edu.eg
76131094190979,محمود سيد محمود,dr_94190979@eng.bsu.edu.eg
93613268920051,عمرو علي حسن فرج البنا,dr_68920051@eng.bsu.edu.eg
85672227018349,فتحي محمود فتحي,dr_27018349@eng.bsu.edu.eg
78240290058476,خالد محمد يوسف أمان,dr_90058476@eng.bsu.edu.eg
09391579614078,أحمد سعد ربيع,dr_79614078@eng.bsu.edu.eg
64202830221665,محمود كمال محمد طه,dr_30221665@eng.bsu.edu.eg
11283553917762,دينا علي عبد العزيز حسين,dr_53917762@eng.bsu.edu.eg
51037776547192,محمد محمود سامي عبد العزيز,dr_76547192@eng.bsu.edu.eg
72336085554858,جان هنري حنا,dr_85554858@eng.bsu.edu.eg
16840203099339,عرفة سيد محمد منصور,dr_03099339@eng.bsu.edu.eg
52551526975691,فتحي محمد مصطفى,dr_26975691@eng.bsu.edu.eg
57528736818267,شيماء حسن سيد بركات,dr_36818267@eng.bsu.edu.eg
20839217960683,فتحي عبد اللطيف المسيري,dr_17960683@eng.bsu.edu.eg
70972134605983,ليلى أبو هاشم محمد,dr_34605983@eng.bsu.edu.eg
62938504743988,أسماء محمد أحمد عبد الغني,dr_04743988@eng.bsu.edu.eg
44343064800942,محمد فيصل,dr_64800942@eng.bsu.edu.eg
69880170961593,محمد ذكري,dr_70961593@eng.bsu.edu.eg
91295296967653,محمد جاد المولى عبد ربه,dr_96967653@eng.bsu.edu.eg
09379046093286,مصطفى موسى,dr_46093286@eng.bsu.edu.eg
44049420632734,ريهام الدسوقي حامد,dr_20632734@eng.bsu.edu.eg
77473177524029,محمد شكر ندا,dr_77524029@eng.bsu.edu.eg
73246947894367,سحر محسن رزق,dr_47894367@eng.bsu.edu.eg
89544128772160,إيمان بدوي أحمد محمود,dr_28772160@eng.bsu.edu.eg
90225775018006,مروة مصطفى الأشموني,dr_75018006@eng.bsu.edu.eg
06843901671786,هبة حسن أحمد كامل إسماعيل,dr_01671786@eng.bsu.edu.eg
01230797483107,نسمة محمد عبد المقصود,dr_97483107@eng.bsu.edu.eg
12708372028227,هايدي عصام يوسف,dr_72028227@eng.bsu.edu.eg
65873296522873,أحمد محمد طه علي,dr_96522873@eng.bsu.edu.eg
22682168863945,هشام طاهر الليثي,dr_68863945@eng.bsu.edu.eg
61630465450047,أيمن حسني محمد أبو العلا,dr_65450047@eng.bsu.edu.eg
