full_name,national_id,email,seat_number,department,level,academic_year
أحمد كريم النجار,29009250200583,100051@student.eng.bsu.edu.eg,100051,هندسة معمارية,FIRST,2025-2026
منى ريم عبدالله,29911112904107,100052@student.eng.bsu.edu.eg,100052,هندسة معمارية,FIRST,2025-2026
نورهان كريم أحمد,29106011706744,100053@student.eng.bsu.edu.eg,100053,هندسة معمارية,FIRST,2025-2026
ياسمين سلمى الهاشمي,30012220806986,100054@student.eng.bsu.edu.eg,100054,هندسة معمارية,FIRST,2025-2026
كريم يوسف محمد,29010071203479,100055@student.eng.bsu.edu.eg,100055,هندسة معمارية,FIRST,2025-2026
ياسمين فاطمة عبدالله,30404060906452,100056@student.eng.bsu.edu.eg,100056,هندسة معمارية,FIRST,2025-2026
محمد ريم الصياد,29108241700707,100057@student.eng.bsu.edu.eg,100057,هندسة معمارية,FIRST,2025-2026
دينا منى عبدالعزيز,30008120901765,100058@student.eng.bsu.edu.eg,100058,هندسة معمارية,FIRST,2025-2026
سلمى إبراهيم النجار,29712160204765,100059@student.eng.bsu.edu.eg,100059,هندسة معمارية,FIRST,2025-2026
أحمد دينا النجار,29606250907336,100060@student.eng.bsu.edu.eg,100060,هندسة معمارية,FIRST,2025-2026
