full_name,national_id,email,seat_number,department,level,academic_year
علي إبراهيم محمود,30103141903434,100061@student.eng.bsu.edu.eg,100061,هندسة معمارية,SECOND,2025-2026
مصطفى منى خليل,30303061000822,100062@student.eng.bsu.edu.eg,100062,هندسة معمارية,SECOND,2025-2026
ريم إبراهيم الشافعي,29108172506893,100063@student.eng.bsu.edu.eg,100063,هندسة معمارية,SECOND,2025-2026
علي سارة محمد,30112052707593,100064@student.eng.bsu.edu.eg,100064,هندسة معمارية,SECOND,2025-2026
فاطمة مصطفى القاضي,30308140404315,100065@student.eng.bsu.edu.eg,100065,هندسة معمارية,SECOND,2025-2026
عمر هند محمد,30109041002114,100066@student.eng.bsu.edu.eg,100066,هندسة معمارية,SECOND,2025-2026
مريم طارق الهاشمي,29407060802722,100067@student.eng.bsu.edu.eg,100067,هندسة معمارية,SECOND,2025-2026
علي سارة محمود,29809181307223,100068@student.eng.bsu.edu.eg,100068,هندسة معمارية,SECOND,2025-2026
سلمى نورهان أحمد,29703221804175,100069@student.eng.bsu.edu.eg,100069,هندسة معمارية,SECOND,2025-2026
فاطمة خالد العمري,29006150101536,100070@student.eng.bsu.edu.eg,100070,هندسة معمارية,SECOND,2025-2026
