full_name,national_id,email,seat_number,department,level,academic_year
عمر ياسمين محمد,29210030801588,100071@student.eng.bsu.edu.eg,100071,هندسة معمارية,THIRD,2025-2026
هند سلمى القاضي,29911183007817,100072@student.eng.bsu.edu.eg,100072,هندسة معمارية,THIRD,2025-2026
علي سارة محمد,29807102003649,100073@student.eng.bsu.edu.eg,100073,هندسة معمارية,THIRD,2025-2026
محمد يوسف النجار,29408251203031,100074@student.eng.bsu.edu.eg,100074,هندسة معمارية,THIRD,2025-2026
محمد إبراهيم الشافعي,29401150907145,100075@student.eng.bsu.edu.eg,100075,هندسة معمارية,THIRD,2025-2026
عمر سلمى عبدالله,30011062404824,100076@student.eng.bsu.edu.eg,100076,هندسة معمارية,THIRD,2025-2026
دينا منى السيد,29504221606505,100077@student.eng.bsu.edu.eg,100077,هندسة معمارية,THIRD,2025-2026
محمد ريم العمري,29012011907171,100078@student.eng.bsu.edu.eg,100078,هندسة معمارية,THIRD,2025-2026
سارة هند الهاشمي,30307053007127,100079@student.eng.bsu.edu.eg,100079,هندسة معمارية,THIRD,2025-2026
منى سلمى الشافعي,30504151801867,100080@student.eng.bsu.edu.eg,100080,هندسة معمارية,THIRD,2025-2026
