full_name,national_id,email,seat_number,department,level,academic_year
هند يوسف خليل,30407121602268,100041@student.eng.bsu.edu.eg,100041,هندسة مدنية,FOURTH,2025-2026
إبراهيم منى السيد,30501061100547,100042@student.eng.bsu.edu.eg,100042,هندسة مدنية,FOURTH,2025-2026
نورهان مصطفى البنا,29505162408082,100043@student.eng.bsu.edu.eg,100043,هندسة مدنية,FOURTH,2025-2026
ياسمين خالد إبراهيم,29203142405622,100044@student.eng.bsu.edu.eg,100044,هندسة مدنية,FOURTH,2025-2026
مريم مصطفى الصياد,30305011905677,100045@student.eng.bsu.edu.eg,100045,هندسة مدنية,FOURTH,2025-2026
سلمى كريم محمد,30309122802032,100046@student.eng.bsu.edu.eg,100046,هندسة مدنية,FOURTH,2025-2026
محمد مصطفى عبدالله,30212151101601,100047@student.eng.bsu.edu.eg,100047,هندسة مدنية,FOURTH,2025-2026
إبراهيم إبراهيم أحمد,30409160507666,100048@student.eng.bsu.edu.eg,100048,هندسة مدنية,FOURTH,2025-2026
إبراهيم نورهان أحمد,30310021807221,100049@student.eng.bsu.edu.eg,100049,هندسة مدنية,FOURTH,2025-2026
هند سلمى خليل,29601220801852,100050@student.eng.bsu.edu.eg,100050,هندسة مدنية,FOURTH,2025-2026
