full_name,national_id,email,seat_number,department,level,academic_year
مصطفى سارة عبدالرحمن,30303241404545,100021@student.eng.bsu.edu.eg,100021,هندسة مدنية,SECOND,2025-2026
علي فاطمة محمد,30508102307926,100022@student.eng.bsu.edu.eg,100022,هندسة مدنية,SECOND,2025-2026
عمر ريم الحسيني,29409251606256,100023@student.eng.bsu.edu.eg,100023,هندسة مدنية,SECOND,2025-2026
هند كريم العمري,29304122001855,100024@student.eng.bsu.edu.eg,100024,هندسة مدنية,SECOND,2025-2026
محمد مصطفى الحسيني,29106252309594,100025@student.eng.bsu.edu.eg,100025,هندسة مدنية,SECOND,2025-2026
كريم ريم محمد,30304093104484,100026@student.eng.bsu.edu.eg,100026,هندسة مدنية,SECOND,2025-2026
عمر هند النجار,29712191305866,100027@student.eng.bsu.edu.eg,100027,هندسة مدنية,SECOND,2025-2026
منى إبراهيم خليل,29312210300773,100028@student.eng.bsu.edu.eg,100028,هندسة مدنية,SECOND,2025-2026
محمد يوسف عبدالله,30110272308789,100029@student.eng.bsu.edu.eg,100029,هندسة مدنية,SECOND,2025-2026
عمر مريم العمري,30502230106803,100030@student.eng.bsu.edu.eg,100030,هندسة مدنية,SECOND,2025-2026
