full_name,national_id,email,seat_number,department,level,academic_year
عمر ريم السيد,30403230500588,100031@student.eng.bsu.edu.eg,100031,هندسة مدنية,THIRD,2025-2026
سلمى نورهان خليل,30009180803087,100032@student.eng.bsu.edu.eg,100032,هندسة مدنية,THIRD,2025-2026
سلمى علي القاضي,29104233100265,100033@student.eng.bsu.edu.eg,100033,هندسة مدنية,THIRD,2025-2026
منى دينا عبدالرحمن,29012200102229,100034@student.eng.bsu.edu.eg,100034,هندسة مدنية,THIRD,2025-2026
كريم نورهان محمد,29709180402151,100035@student.eng.bsu.edu.eg,100035,هندسة مدنية,THIRD,2025-2026
إبراهيم علي علي,30501250306305,100036@student.eng.bsu.edu.eg,100036,هندسة مدنية,THIRD,2025-2026
منى ياسمين محمود,30504101803484,100037@student.eng.bsu.edu.eg,100037,هندسة مدنية,THIRD,2025-2026
إبراهيم خالد البنا,30303210306304,100038@student.eng.bsu.edu.eg,100038,هندسة مدنية,THIRD,2025-2026
علي مريم السيد,30007131801275,100039@student.eng.bsu.edu.eg,100039,هندسة مدنية,THIRD,2025-2026
مريم مريم النجار,30005083109788,100040@student.eng.bsu.edu.eg,100040,هندسة مدنية,THIRD,2025-2026
