full_name,national_id,email,seat_number,department,level,academic_year
مصطفى مريم عبدالعزيز,29311220101856,100091@student.eng.bsu.edu.eg,100091,هندسة اتصالات,FIRST,2025-2026
ياسمين علي القاضي,30306031009038,100092@student.eng.bsu.edu.eg,100092,هندسة اتصالات,FIRST,2025-2026
هند عمر أحمد,30104273007206,100093@student.eng.bsu.edu.eg,100093,هندسة اتصالات,FIRST,2025-2026
مريم ياسمين القاضي,29307041703335,100094@student.eng.bsu.edu.eg,100094,هندسة اتصالات,FIRST,2025-2026
سلمى نورهان عبدالعزيز,30511180301595,100095@student.eng.bsu.edu.eg,100095,هندسة اتصالات,FIRST,2025-2026
منى سارة السيد,30202241804576,100096@student.eng.bsu.edu.eg,100096,هندسة اتصالات,FIRST,2025-2026
إبراهيم طارق علي,29406222102587,100097@student.eng.bsu.edu.eg,100097,هندسة اتصالات,FIRST,2025-2026
مريم أحمد علي,29011180502466,100098@student.eng.bsu.edu.eg,100098,هندسة اتصالات,FIRST,2025-2026
هند دينا علي,29201282609645,100099@student.eng.bsu.edu.eg,100099,هندسة اتصالات,FIRST,2025-2026
دينا أحمد الصياد,29407082203208,100100@student.eng.bsu.edu.eg,100100,هندسة اتصالات,FIRST,2025-2026
