full_name,national_id,email,seat_number,department,level,academic_year
سارة فاطمة الحسيني,29707062302858,100121@student.eng.bsu.edu.eg,100121,هندسة اتصالات,FOURTH,2025-2026
دينا مريم البنا,30209230800856,100122@student.eng.bsu.edu.eg,100122,هندسة اتصالات,FOURTH,2025-2026
سلمى أحمد علي,30411220801294,100123@student.eng.bsu.edu.eg,100123,هندسة اتصالات,FOURTH,2025-2026
منى ريم الشافعي,30102012103781,100124@student.eng.bsu.edu.eg,100124,هندسة اتصالات,FOURTH,2025-2026
طارق يوسف فاروق,29811182305971,100125@student.eng.bsu.edu.eg,100125,هندسة اتصالات,FOURTH,2025-2026
هند مصطفى فاروق,30308151502636,100126@student.eng.bsu.edu.eg,100126,هندسة اتصالات,FOURTH,2025-2026
طارق طارق أحمد,29305061900463,100127@student.eng.bsu.edu.eg,100127,هندسة اتصالات,FOURTH,2025-2026
هند منى إبراهيم,29103202607585,100128@student.eng.bsu.edu.eg,100128,هندسة اتصالات,FOURTH,2025-2026
منى طارق علي,29811090800554,100129@student.eng.bsu.edu.eg,100129,هندسة اتصالات,FOURTH,2025-2026
عمر كريم محمد,29211151304695,100130@student.eng.bsu.edu.eg,100130,هندسة اتصالات,FOURTH,2025-2026
