full_name,national_id,email,seat_number,department,level,academic_year
مصطفى مصطفى العمري,29901200306222,100101@student.eng.bsu.edu.eg,100101,هندسة اتصالات,SECOND,2025-2026
خالد علي فاروق,29312030700618,100102@student.eng.bsu.edu.eg,100102,هندسة اتصالات,SECOND,2025-2026
عمر ريم عبدالله,29606113008727,100103@student.eng.bsu.edu.eg,100103,هندسة اتصالات,SECOND,2025-2026
ريم مريم الصياد,30507032908236,100104@student.eng.bsu.edu.eg,100104,هندسة اتصالات,SECOND,2025-2026
ياسمين خالد البنا,30404050600352,100105@student.eng.bsu.edu.eg,100105,هندسة اتصالات,SECOND,2025-2026
هند طارق محمود,29002011908689,100106@student.eng.bsu.edu.eg,100106,هندسة اتصالات,SECOND,2025-2026
كريم عمر خليل,29908021907489,100107@student.eng.bsu.edu.eg,100107,هندسة اتصالات,SECOND,2025-2026
دينا محمد فاروق,30209053007188,100108@student.eng.bsu.edu.eg,100108,هندسة اتصالات,SECOND,2025-2026
منى إبراهيم علي,29810202902196,100109@student.eng.bsu.edu.eg,100109,هندسة اتصالات,SECOND,2025-2026
محمد مريم عبدالرحمن,29408260506025,100110@student.eng.bsu.edu.eg,100110,هندسة اتصالات,SECOND,2025-2026
