full_name,national_id,email,seat_number,department,level,academic_year
علي مريم أحمد,29804260609272,100151@student.eng.bsu.edu.eg,100151,هندسة قوى,FOURTH,2025-2026
سلمى ياسمين علي,29111230601605,100152@student.eng.bsu.edu.eg,100152,هندسة قوى,FOURTH,2025-2026
منى فاطمة محمد,30204200505231,100153@student.eng.bsu.edu.eg,100153,هندسة قوى,FOURTH,2025-2026
هند منى عبدالله,30402020600192,100154@student.eng.bsu.edu.eg,100154,هندسة قوى,FOURTH,2025-2026
ياسمين سارة الشافعي,29610130600903,100155@student.eng.bsu.edu.eg,100155,هندسة قوى,FOURTH,2025-2026
مريم هند النجار,30508151803482,100156@student.eng.bsu.edu.eg,100156,هندسة قوى,FOURTH,2025-2026
هند دينا الصياد,30506213001346,100157@student.eng.bsu.edu.eg,100157,هندسة قوى,FOURTH,2025-2026
علي مصطفى فاروق,29811201108758,100158@student.eng.bsu.edu.eg,100158,هندسة قوى,FOURTH,2025-2026
عمر سلمى عبدالرحمن,30410121107396,100159@student.eng.bsu.edu.eg,100159,هندسة قوى,FOURTH,2025-2026
نورهان كريم السيد,30512021708687,100160@student.eng.bsu.edu.eg,100160,هندسة قوى,FOURTH,2025-2026
