full_name,national_id,email,seat_number,department,level,academic_year
دينا يوسف العمري,30403112501349,100131@student.eng.bsu.edu.eg,100131,هندسة قوى,SECOND,2025-2026
خالد طارق خليل,30212061002551,100132@student.eng.bsu.edu.eg,100132,هندسة قوى,SECOND,2025-2026
مصطفى ريم فاروق,29302212804699,100133@student.eng.bsu.edu.eg,100133,هندسة قوى,SECOND,2025-2026
مريم دينا البنا,30105221700275,100134@student.eng.bsu.edu.eg,100134,هندسة قوى,SECOND,2025-2026
إبراهيم نورهان السيد,29909092402561,100135@student.eng.bsu.edu.eg,100135,هندسة قوى,SECOND,2025-2026
منى عمر عبدالرحمن,29310202001199,100136@student.eng.bsu.edu.eg,100136,هندسة قوى,SECOND,2025-2026
كريم منى إبراهيم,30107241601852,100137@student.eng.bsu.edu.eg,100137,هندسة قوى,SECOND,2025-2026
أحمد مريم عبدالعزيز,29912241701663,100138@student.eng.bsu.edu.eg,100138,هندسة قوى,SECOND,2025-2026
يوسف دينا عبدالله,30501162409787,100139@student.eng.bsu.edu.eg,100139,هندسة قوى,SECOND,2025-2026
ياسمين أحمد القاضي,30301210404399,100140@student.eng.bsu.edu.eg,100140,هندسة قوى,SECOND,2025-2026
