full_name,national_id,email,seat_number,department,level,academic_year
علي أحمد علي,30202162203376,100141@student.eng.bsu.edu.eg,100141,هندسة قوى,THIRD,2025-2026
إبراهيم ريم محمد,30112191507406,100142@student.eng.bsu.edu.eg,100142,هندسة قوى,THIRD,2025-2026
أحمد مصطفى العمري,30506190905984,100143@student.eng.bsu.edu.eg,100143,هندسة قوى,THIRD,2025-2026
سارة يوسف حسن,29504261109365,100144@student.eng.bsu.edu.eg,100144,هندسة قوى,THIRD,2025-2026
مريم مصطفى الحسيني,30509050106139,100145@student.eng.bsu.edu.eg,100145,هندسة قوى,THIRD,2025-2026
ريم علي البنا,29204210601205,100146@student.eng.bsu.edu.eg,100146,هندسة قوى,THIRD,2025-2026
دينا إبراهيم الشافعي,30102182502019,100147@student.eng.bsu.edu.eg,100147,هندسة قوى,THIRD,2025-2026
منى خالد النجار,30210081004653,100148@student.eng.bsu.edu.eg,100148,هندسة قوى,THIRD,2025-2026
منى أحمد عبدالله,29603032703228,100149@student.eng.bsu.edu.eg,100149,هندسة قوى,THIRD,2025-2026
طارق ياسمين العمري,30003240203725,100150@student.eng.bsu.edu.eg,100150,هندسة قوى,THIRD,2025-2026
