national_id,full_name,email,department,level
29803150100101,سارة أحمد محمد,sara.ahmed@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
29902020100202,نورهان خالد علي,nourhan.khaled@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
30001110100303,مريم سعيد حسن,mariam.saeed@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
30112080100404,فاطمة إبراهيم أحمد,fatima.ibrahim@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
29803070100505,ياسمين محمد علي,yasmin.mohamed@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
29904050100606,ريم خالد سعيد,reen.khaled@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
30005030100707,هاجر علي حسن,hager.ali@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
30106110100808,سلمى سعيد إبراهيم,salma.saeed@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
29807090100909,أماني أحمد محمد,amani.ahmed@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
29908070101010,بسمة حسن علي,basma.hassan@student.eng.bsu.edu.eg,هندسة كهربية,FIRST
