full_name,national_id,email,seat_number,department,level,academic_year
فاطمة ريم البنا,30101111609386,100001@student.eng.bsu.edu.eg,100001,الفرقة الإعدادية,PREPARATORY,2025-2026
ريم ريم خليل,29102082303344,100002@student.eng.bsu.edu.eg,100002,الفرقة الإعدادية,PREPARATORY,2025-2026
خالد طارق إبراهيم,29410031700328,100003@student.eng.bsu.edu.eg,100003,الفرقة الإعدادية,PREPARATORY,2025-2026
نورهان ريم القاضي,29503071709207,100004@student.eng.bsu.edu.eg,100004,الفرقة الإعدادية,PREPARATORY,2025-2026
إبراهيم نورهان الصياد,30004140708264,100005@student.eng.bsu.edu.eg,100005,الفرقة الإعدادية,PREPARATORY,2025-2026
ياسمين كريم حسن,29605212602998,100006@student.eng.bsu.edu.eg,100006,الفرقة الإعدادية,PREPARATORY,2025-2026
مريم سارة محمد,29703202302616,100007@student.eng.bsu.edu.eg,100007,الفرقة الإعدادية,PREPARATORY,2025-2026
نورهان ياسمين عبدالعزيز,29708062003167,100008@student.eng.bsu.edu.eg,100008,الفرقة الإعدادية,PREPARATORY,2025-2026
سارة ريم أحمد,30305022002457,100009@student.eng.bsu.edu.eg,100009,الفرقة الإعدادية,PREPARATORY,2025-2026
خالد خالد عبدالله,30309060601153,100010@student.eng.bsu.edu.eg,100010,الفرقة الإعدادية,PREPARATORY,2025-2026
