national_id,full_name,email,department,level
29803150100101,ريم محمد أحمد,reen.mohamed@student.eng.bsu.edu.eg,Architecture,FIRST
29902020100202,سارة أحمد علي,sara.ahmed@student.eng.bsu.edu.eg,Architecture,FIRST
30001110100303,مريم علي حسن,mariam.ali@student.eng.bsu.edu.eg,Architecture,FIRST
30112080100404,فاطمة حسن سعيد,fatima.hassan@student.eng.bsu.edu.eg,Architecture,FIRST
29803070100505,نورهان سعيد أحمد,nourhan.saeed@student.eng.bsu.edu.eg,Architecture,FIRST
29904050100606,ياسمين أحمد محمد,yasmin.ahmed@student.eng.bsu.edu.eg,Architecture,FIRST
30005030100707,سلمى محمد علي,salma.mohamed@student.eng.bsu.edu.eg,Architecture,FIRST
30106110100808,هاجر علي حسن,hager.ali@student.eng.bsu.edu.eg,Architecture,FIRST
29807090100909,أماني حسن أحمد,amani.hassan@student.eng.bsu.edu.eg,Architecture,FIRST
29908070101010,بسمة سعيد محمد,basma.saeed@student.eng.bsu.edu.eg,Architecture,FIRST
