national_id,full_name,email,department,level
29000000001661,أحمد محمد حسن,student151@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001672,محمد حسن القاضي,student152@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001683,علي إبراهيم إبراهيم,student153@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001694,حسن أحمد علي,student154@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001705,سعيد سعيد البنا,student155@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001716,خالد عبدالله خالد,student156@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001727,طارق علي أحمد,student157@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001738,عمر خالد الشافعي,student158@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001749,ياسر محمد سعيد,student159@student.eng.bsu.edu.eg,architecture,FOURTH
29000000001760,محمود حسن محمد,student160@student.eng.bsu.edu.eg,architecture,FOURTH
