national_id,full_name,email,department,level
29000000001441,أحمد محمد حسن,student131@student.eng.bsu.edu.eg,architecture,SECOND
29000000001452,محمد حسن القاضي,student132@student.eng.bsu.edu.eg,architecture,SECOND
29000000001463,علي إبراهيم إبراهيم,student133@student.eng.bsu.edu.eg,architecture,SECOND
29000000001474,حسن أحمد علي,student134@student.eng.bsu.edu.eg,architecture,SECOND
29000000001485,سعيد سعيد البنا,student135@student.eng.bsu.edu.eg,architecture,SECOND
29000000001496,خالد عبدالله خالد,student136@student.eng.bsu.edu.eg,architecture,SECOND
29000000001507,طارق علي أحمد,student137@student.eng.bsu.edu.eg,architecture,SECOND
29000000001518,عمر خالد الشافعي,student138@student.eng.bsu.edu.eg,architecture,SECOND
29000000001529,ياسر محمد سعيد,student139@student.eng.bsu.edu.eg,architecture,SECOND
29000000001540,محمود حسن محمد,student140@student.eng.bsu.edu.eg,architecture,SECOND
