national_id,full_name,email,department,level
29000000001551,أحمد محمد حسن,student141@student.eng.bsu.edu.eg,architecture,THIRD
29000000001562,محمد حسن القاضي,student142@student.eng.bsu.edu.eg,architecture,THIRD
29000000001573,علي إبراهيم إبراهيم,student143@student.eng.bsu.edu.eg,architecture,THIRD
29000000001584,حسن أحمد علي,student144@student.eng.bsu.edu.eg,architecture,THIRD
29000000001595,سعيد سعيد البنا,student145@student.eng.bsu.edu.eg,architecture,THIRD
29000000001606,خالد عبدالله خالد,student146@student.eng.bsu.edu.eg,architecture,THIRD
29000000001617,طارق علي أحمد,student147@student.eng.bsu.edu.eg,architecture,THIRD
29000000001628,عمر خالد الشافعي,student148@student.eng.bsu.edu.eg,architecture,THIRD
29000000001639,ياسر محمد سعيد,student149@student.eng.bsu.edu.eg,architecture,THIRD
29000000001650,محمود حسن محمد,student150@student.eng.bsu.edu.eg,architecture,THIRD
