national_id,full_name,email,department,level
29803150100101,أحمد محمد علي,ahmed.mohamed@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
29902020100202,محمد أحمد سعيد,mohamed.ahmed@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
30001110100303,علي سعيد إبراهيم,ali.saeed@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
30112080100404,سعيد إبراهيم حسن,saeed.ibrahim@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
29803070100505,خالد حسن أحمد,khaled.hassan@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
29904050100606,حسن أحمد محمد,hassan.ahmed@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
30005030100707,إبراهيم محمد علي,ibrahim.mohamed@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
30106110100808,عبدالله علي سعيد,abdullah.ali@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
29807090100909,عمر سعيد حسن,omar.saeed@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
29908070101010,ياسر حسن أحمد,yasser.hassan@student.eng.bsu.edu.eg,هندسة مدنية,FIRST
