national_id,full_name,email,department,level
29003150100101,خالد سعيد أحمد,khaled.saeed@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29102020100202,سعيد أحمد محمد,saeed.ahmed@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29201110100303,أحمد محمد علي,ahmed.mohamed@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29312080100404,محمد علي حسن,mohamed.ali@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29003070100505,علي حسن سعيد,ali.hassan@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29104050100606,حسن سعيد أحمد,hassan.saeed@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29205030100707,سعيد أحمد محمد,saeed.ahmed2@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29306110100808,أحمد محمد حسن,ahmed.mohamed2@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29007090100909,محمد حسن علي,mohamed.hassan@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
29108070101010,حسن علي سعيد,hassan.ali@student.eng.bsu.edu.eg,هندسة مدنية,FOURTH
