national_id,full_name,email,department,level
29603150100101,أحمد محمود سعيد,ahmed.mahmoud@student.eng.bsu.edu.eg,Civil,SECOND
29702020100202,محمد سعيد علي,mohamed.saeed@student.eng.bsu.edu.eg,Civil,SECOND
29801110100303,على محمود حسن,ali.mahmoud@student.eng.bsu.edu.eg,Civil,SECOND
29912080100404,سعيد حسن أحمد,saeed.hassan@student.eng.bsu.edu.eg,Civil,SECOND
29603070100505,خالد أحمد محمد,khaled.ahmed@student.eng.bsu.edu.eg,Civil,SECOND
29704050100606,حسن محمد علي,hassan.mohamed@student.eng.bsu.edu.eg,Civil,SECOND
29805030100707,إبراهيم على سعيد,ibrahim.ali@student.eng.bsu.edu.eg,Civil,SECOND
29906110100808,عبدالله سعيد حسن,abdullah.saeed@student.eng.bsu.edu.eg,Civil,SECOND
29607090100909,عمر حسن أحمد,omar.hassan@student.eng.bsu.edu.eg,Civil,SECOND
29708070101010,ياسر أحمد محمد,yasser.ahmed@student.eng.bsu.edu.eg,Civil,SECOND
