national_id,full_name,email,department,level
29203150100101,محمد أحمد خالد,mohamed.ahmed@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29302020100202,أحمد خالد سعيد,ahmed.khaled@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29401110100303,خالد سعيد حسن,khaled.saeed@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29512080100404,سعيد حسن أحمد,saeed.hassan@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29203070100505,حسن أحمد محمد,hassan.ahmed@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29304050100606,أحمد محمد علي,ahmed.mohamed@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29405030100707,محمد علي سعيد,mohamed.ali@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29506110100808,علي سعيد حسن,ali.saeed@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29207090100909,سعيد حسن خالد,saeed.hassan@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
29308070101010,حسن خالد أحمد,hassan.khaled@student.eng.bsu.edu.eg,هندسة مدنية,THIRD
