national_id,full_name,email,department,level,specialization
29603150100101,محمد علي سعيد,mohamed.ali@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29702020100202,علي سعيد أحمد,ali.saeed@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29801110100303,سعيد أحمد حسن,saeed.ahmed@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29912080100404,أحمد حسن محمد,ahmed.hassan@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29603070100505,حسن محمد علي,hassan.mohamed@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29704050100606,محمد علي سعيد,mohamed.ali@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29805030100707,علي سعيد أحمد,ali.saeed@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29906110100808,سعيد أحمد حسن,saeed.ahmed@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29607090100909,أحمد حسن محمد,ahmed.hassan@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
29708070101010,حسن محمد علي,hassan.mohamed@student.eng.bsu.edu.eg,Electrical,SECOND,ECE
