national_id,full_name,email,department,level,specialization
29000000000341,أحمد محمد حسن,student31@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000352,محمد حسن القاضي,student32@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000363,علي إبراهيم إبراهيم,student33@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000374,حسن أحمد علي,student34@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000385,سعيد سعيد البنا,student35@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000396,خالد عبدالله خالد,student36@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000407,طارق علي أحمد,student37@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000418,عمر خالد الشافعي,student38@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000429,ياسر محمد سعيد,student39@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000000440,محمود حسن محمد,student40@student.eng.bsu.edu.eg,electrical,THIRD,ece
