national_id,full_name,email,department,level
29000000000121,أحمد محمد حسن,student11@student.eng.bsu.edu.eg,electrical,FIRST
29000000000132,محمد حسن القاضي,student12@student.eng.bsu.edu.eg,electrical,FIRST
29000000000143,علي إبراهيم إبراهيم,student13@student.eng.bsu.edu.eg,electrical,FIRST
29000000000154,حسن أحمد علي,student14@student.eng.bsu.edu.eg,electrical,FIRST
29000000000165,سعيد سعيد البنا,student15@student.eng.bsu.edu.eg,electrical,FIRST
29000000000176,خالد عبدالله خالد,student16@student.eng.bsu.edu.eg,electrical,FIRST
29000000000187,طارق علي أحمد,student17@student.eng.bsu.edu.eg,electrical,FIRST
29000000000198,عمر خالد الشافعي,student18@student.eng.bsu.edu.eg,electrical,FIRST
29000000000209,ياسر محمد سعيد,student19@student.eng.bsu.edu.eg,electrical,FIRST
29000000000220,محمود حسن محمد,student20@student.eng.bsu.edu.eg,electrical,FIRST
