national_id,full_name,email,department,level,specialization
29000000000671,أحمد محمد حسن,student61@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000682,محمد حسن القاضي,student62@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000693,علي إبراهيم إبراهيم,student63@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000704,حسن أحمد علي,student64@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000715,سعيد سعيد البنا,student65@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000726,خالد عبدالله خالد,student66@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000737,طارق علي أحمد,student67@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000748,عمر خالد الشافعي,student68@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000759,ياسر محمد سعيد,student69@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000000770,محمود حسن محمد,student70@student.eng.bsu.edu.eg,electrical,THIRD,epm
