national_id,full_name,email,department,level
29000000001771,أحمد محمد حسن,student161@student.eng.bsu.edu.eg,civil,FIRST
29000000001782,محمد حسن القاضي,student162@student.eng.bsu.edu.eg,civil,FIRST
29000000001793,علي إبراهيم إبراهيم,student163@student.eng.bsu.edu.eg,civil,FIRST
29000000001804,أحمد محمد حسن,student164@student.eng.bsu.edu.eg,civil,SECOND
29000000001815,محمد حسن القاضي,student165@student.eng.bsu.edu.eg,civil,SECOND
29000000001826,علي إبراهيم إبراهيم,student166@student.eng.bsu.edu.eg,civil,SECOND
29000000001837,أحمد محمد حسن,student167@student.eng.bsu.edu.eg,civil,THIRD
29000000001848,محمد حسن القاضي,student168@student.eng.bsu.edu.eg,civil,THIRD
29000000001859,علي إبراهيم إبراهيم,student169@student.eng.bsu.edu.eg,civil,THIRD
29000000001870,حسن أحمد علي,student170@student.eng.bsu.edu.eg,civil,THIRD
