national_id,full_name,email,department,level,specialization
29000000001881,أحمد محمد حسن,student171@student.eng.bsu.edu.eg,electrical,FIRST,
29000000001892,محمد حسن القاضي,student172@student.eng.bsu.edu.eg,electrical,FIRST,
29000000001903,علي إبراهيم إبراهيم,student173@student.eng.bsu.edu.eg,electrical,FIRST,
29000000001914,أحمد محمد حسن,student174@student.eng.bsu.edu.eg,electrical,SECOND,ece
29000000001925,محمد حسن القاضي,student175@student.eng.bsu.edu.eg,electrical,SECOND,ece
29000000001936,علي إبراهيم إبراهيم,student176@student.eng.bsu.edu.eg,electrical,SECOND,ece
29000000001947,أحمد محمد حسن,student177@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000001958,محمد حسن القاضي,student178@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000001969,علي إبراهيم إبراهيم,student179@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000001980,حسن أحمد علي,student180@student.eng.bsu.edu.eg,electrical,THIRD,epm
