national_id,full_name,email,department,level,specialization
29000000001991,أحمد محمد حسن,student181@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000002002,محمد حسن القاضي,student182@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000002013,علي إبراهيم إبراهيم,student183@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000002024,حسن أحمد علي,student184@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000002035,سعيد سعيد البنا,student185@student.eng.bsu.edu.eg,electrical,THIRD,ece
29000000002046,أحمد محمد حسن,student186@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000002057,محمد حسن القاضي,student187@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000002068,علي إبراهيم إبراهيم,student188@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000002079,حسن أحمد علي,student189@student.eng.bsu.edu.eg,electrical,THIRD,epm
29000000002090,سعيد سعيد البنا,student190@student.eng.bsu.edu.eg,electrical,THIRD,epm
