national_id,full_name,email,department,level
29000000000011,أحمد محمد حسن,student1@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000022,محمد حسن القاضي,student2@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000033,علي إبراهيم إبراهيم,student3@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000044,حسن أحمد علي,student4@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000055,سعيد سعيد البنا,student5@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000066,خالد عبدالله خالد,student6@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000077,طارق علي أحمد,student7@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000088,عمر خالد الشافعي,student8@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000099,ياسر محمد سعيد,student9@student.eng.bsu.edu.eg,preparatory,PREPARATORY
29000000000110,محمود حسن محمد,student10@student.eng.bsu.edu.eg,preparatory,PREPARATORY
